track,total_laps,avg_lap_time,min_lap_time,max_lap_time,std_lap_time,years,drivers,compounds
Sakhir Grand Prix,1189,58.43413288477712,55.404,62.424,0.8733412960371272,[np.int64(2020)],18,"['MEDIUM', 'HARD', 'SOFT']"
Styrian Grand Prix,2312,69.97912153979239,65.619,142.514,1.9945562917315476,"[np.int64(2020), np.int64(2021)]",24,"['SOFT', 'MEDIUM', 'HARD']"
Austrian Grand Prix,7267,70.55909412412275,66.2,120.866,2.542843018673965,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",33,"['SOFT', 'MEDIUM', 'HARD']"
Brazilian Grand Prix,1935,74.33219483204134,70.54,86.471,1.3981951631827483,"[np.int64(2018), np.int64(2019)]",25,"['SOFT', 'MEDIUM', 'HARD']"
Dutch Grand Prix,4708,76.96534749362787,71.097,116.188,2.861810271945206,"[np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",27,"['SOFT', 'MEDIUM', 'HARD', 'INTERMEDIATE']"
Ṣo Paulo Grand Prix,3909,78.12362982860066,71.01,113.466,4.420885075457141,"[np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",28,"['MEDIUM', 'HARD', 'SOFT', 'INTERMEDIATE', 'WET']"
Canadian Grand Prix,4310,79.87000092807425,73.078,139.671,4.865893864108971,"[np.int64(2019), np.int64(2022), np.int64(2023), np.int64(2024)]",29,"['HARD', 'MEDIUM', 'SOFT', 'INTERMEDIATE', 'WET']"
Monaco Grand Prix,6157,80.7790896540523,72.909,146.648,6.772398802207781,"[np.int64(2019), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",30,"['SOFT', 'MEDIUM', 'HARD', 'WET', 'INTERMEDIATE']"
Mexican Grand Prix,1233,82.04933495539333,79.232,92.337,1.525763440122294,[np.int64(2019)],20,"['MEDIUM', 'HARD', 'SOFT']"
Emilia Romagna Grand Prix,3913,82.80362228469205,75.484,111.291,4.465828899446906,"[np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2024)]",28,"['SOFT', 'HARD', 'MEDIUM', 'INTERMEDIATE', 'WET']"
Portuguese Grand Prix,2264,82.90830477031803,78.75,90.672,1.3476528361956166,"[np.int64(2020), np.int64(2021)]",24,"['SOFT', 'MEDIUM', 'HARD']"
Mexico City Grand Prix,4542,83.30853588727435,77.774,148.49,2.9907655215880933,"[np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",28,"['MEDIUM', 'HARD', 'SOFT']"
Spanish Grand Prix,7540,83.39720702917771,76.33,132.577,3.1695151640003063,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",34,"['MEDIUM', 'SOFT', 'HARD']"
Tuscan Grand Prix,542,83.4219225092251,78.833,90.026,1.631421098275688,[np.int64(2020)],13,"['SOFT', 'MEDIUM', 'HARD']"
Hungarian Grand Prix,7669,83.76546316338506,76.627,99.165,1.7929161676004965,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",32,"['SOFT', 'MEDIUM', 'HARD', 'INTERMEDIATE']"
Australian Grand Prix,3334,85.0590101979604,79.813,123.62,3.378564497105552,"[np.int64(2019), np.int64(2022), np.int64(2023), np.int64(2024)]",29,"['SOFT', 'MEDIUM', 'HARD']"
German Grand Prix,1020,85.40529117647058,76.645,118.644,6.896968459819249,"[np.int64(2018), np.int64(2019)]",26,"['SOFT', 'MEDIUM', 'INTERMEDIATE', 'WET']"
Italian Grand Prix,5212,86.15435763622409,81.432,144.316,2.73655000481897,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",34,"['SOFT', 'MEDIUM', 'HARD']"
Qatar Grand Prix,2481,88.02069810560259,82.384,96.328,2.113113784366062,"[np.int64(2021), np.int64(2023), np.int64(2024)]",27,"['SOFT', 'HARD', 'MEDIUM']"
70th Anniversary Grand Prix,902,92.40366407982262,88.451,99.84,1.3220910845996994,[np.int64(2020)],20,"['MEDIUM', 'HARD', 'SOFT']"
Eifel Grand Prix,816,92.77620098039216,88.139,96.917,1.5735103209415144,[np.int64(2020)],20,"['SOFT', 'MEDIUM', 'HARD']"
British Grand Prix,5192,93.35702369029276,87.097,115.484,2.824307541950967,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",33,"['SOFT', 'MEDIUM', 'HARD', 'INTERMEDIATE']"
Miami Grand Prix,2827,93.44090873717722,89.708,99.782,1.4101957838472912,"[np.int64(2022), np.int64(2023), np.int64(2024)]",24,"['MEDIUM', 'HARD', 'SOFT']"
Abu Dhabi Grand Prix,5642,94.76695161290321,85.637,110.264,6.640197797871488,"[np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",32,"['MEDIUM', 'HARD', 'SOFT']"
Saudi Arabian Grand Prix,2743,94.89157345971563,90.734,148.734,3.2392345606082467,"[np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",28,"['MEDIUM', 'HARD', 'SOFT']"
Bahrain Grand Prix,5227,97.54178955423761,92.014,109.275,1.8908013427284052,"[np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",29,"['SOFT', 'MEDIUM', 'HARD']"
Japanese Grand Prix,3343,98.20369997008676,90.983,115.038,4.169334705694891,"[np.int64(2018), np.int64(2019), np.int64(2022), np.int64(2023), np.int64(2024)]",33,"['SOFT', 'MEDIUM', 'HARD', 'WET', 'INTERMEDIATE']"
Las Vegas Grand Prix,1525,98.60478622950819,95.48,103.971,1.4707894509846862,"[np.int64(2023), np.int64(2024)]",22,"['MEDIUM', 'HARD', 'SOFT']"
French Grand Prix,3011,98.64039754234473,92.74,109.668,1.9981029610368573,"[np.int64(2018), np.int64(2019), np.int64(2021), np.int64(2022)]",27,"['SOFT', 'MEDIUM', 'HARD']"
Turkish Grand Prix,1982,99.94505953582241,90.432,130.767,6.343749519978189,"[np.int64(2020), np.int64(2021)]",24,"['WET', 'INTERMEDIATE']"
Chinese Grand Prix,1962,100.06272986748216,94.742,105.796,1.8668385469947637,"[np.int64(2018), np.int64(2019), np.int64(2024)]",30,"['SOFT', 'MEDIUM', 'HARD']"
Russian Grand Prix,3088,101.04219365284973,95.761,135.695,2.9068643983593123,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021)]",29,"['SOFT', 'MEDIUM', 'HARD', 'INTERMEDIATE']"
United States Grand Prix,4858,101.81081720872787,96.169,112.718,1.8086684984321435,"[np.int64(2018), np.int64(2019), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",35,"['SOFT', 'MEDIUM', 'HARD']"
Singapore Grand Prix,3938,105.25462392077196,94.486,134.994,7.373096657928705,"[np.int64(2018), np.int64(2019), np.int64(2022), np.int64(2023), np.int64(2024)]",32,"['SOFT', 'HARD', 'MEDIUM', 'INTERMEDIATE']"
Azerbaijan Grand Prix,4207,108.38039220347042,103.009,149.461,2.335037037896024,"[np.int64(2018), np.int64(2019), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]",34,"['SOFT', 'MEDIUM', 'HARD']"
Belgian Grand Prix,3619,111.28985714285714,104.701,120.162,2.499816647513126,"[np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2022), np.int64(2023), np.int64(2024)]",32,"['SOFT', 'MEDIUM', 'HARD']"
