lap,compound,tire_age,wetness,lap_time,cumulative_time,tire_factor
1,INTERMEDIATE,1,0.4,71.96249999999999,71.96249999999999,0.9594999999999999
2,INTERMEDIATE,2,0.37295752796237935,71.83334072985892,143.79584072985892,0.9581778763981189
3,INTERMEDIATE,3,0.3477432941595224,71.7110373530982,215.50687808295714,0.956947164707976
4,INTERMEDIATE,4,0.32423369838807486,71.59512636895528,287.1020044519124,0.9558016849194038
5,INTERMEDIATE,5,0.30231349658229023,71.48517561218358,358.587180064096,0.9547356748291145
6,INTERMEDIATE,6,0.28187523588748536,71.38078213457807,429.96796219867406,0.9537437617943743
7,INTERMEDIATE,7,0.26281872792602273,71.28157022972258,501.2495324283966,0.952820936396301
8,INTERMEDIATE,8,0.2450505576737664,71.18718959127663,572.4367220196732,0.9519625278836883
9,INTERMEDIATE,9,0.22848362553952595,71.09731359577322,643.5340356154464,0.9511641812769762
10,INTERMEDIATE,10,0.2130367204027589,71.01163770151034,714.5456733169568,0.9504218360201379
11,INTERMEDIATE,11,0.1986341215165638,71.15848710245622,785.704160419413,0.9527798280327496
12,INTERMEDIATE,12,0.18520522732449124,71.35048264378105,857.0546430631941,0.9557397685837473
13,INTERMEDIATE,13,0.17268420937163187,71.52762202846421,928.5822650916583,0.9585016270461894
14,INTERMEDIATE,14,0.16100968961345438,71.6909096245071,1000.2731747161654,0.9610787949934281
15,INTERMEDIATE,15,0.15012443954055982,71.8412818984272,1072.1144566145927,0.963483758645696
16,INTERMEDIATE,16,0.13997509964446214,71.97961200581788,1144.0940686204106,0.9657281600775718
17,INTERMEDIATE,17,0.13051191784921579,72.10671407155829,1216.200782691969,0.9678228542874439
18,INTERMEDIATE,18,0.12168850562668161,72.22334718065429,1288.4241298726233,0.9697779624087239
19,INTERMEDIATE,19,0.11346161059990811,72.33021909927422,1360.7543489718976,0.9716029213236563
20,INTERMEDIATE,20,0.10579090451992959,72.42798974421933,1433.1823387161169,0.9733065299229243
21,INTERMEDIATE,21,0.09863878557664257,72.51727441783676,1505.6996131339536,0.9748969922378234
22,INTERMEDIATE,22,0.09197019407468952,72.59864682423235,1578.298259958186,0.9763819576564313
23,INTERMEDIATE,23,0.08575244057079118,72.67264188156888,1650.9709018397548,0.9777685584209183
24,INTERMEDIATE,24,0.0799550456300578,72.73975834423541,1723.7106601839903,0.9790634445898055
25,INTERMEDIATE,25,0.07454959041576398,72.80046124774205,1796.5111214317324,0.9802728166365606
26,INTERMEDIATE,26,0.06950957738017803,72.85518418832436,1869.3663056200567,0.9814024558443247
27,INTERMEDIATE,27,0.06481030037355229,72.90433144843279,1942.2706370684893,0.9824577526457704
28,INTERMEDIATE,28,0.06042872353454834,72.94827997852556,2015.2189170470149,0.9834437330470076
29,INTERMEDIATE,29,0.056343368368417995,72.98738124488042,2088.206298291895,0.9843650832650723
30,INTERMEDIATE,30,0.052534208459397214,73.02196295248258,2161.228261244378,0.9852261726997679
31,INTERMEDIATE,31,0.04898257130119277,73.05233065143503,2234.280591895813,0.986031075352467
32,INTERMEDIATE,32,0.04567104676433458,73.07876923476543,2307.3593611305782,0.9867835897968724
33,INTERMEDIATE,33,0.042583401751701125,73.10154433497216,2380.4609054655502,0.9874872577996288
34,INTERMEDIATE,34,0.03970450062385827,73.12090362615506,2453.5818090917055,0.9881453816820673
35,INTERMEDIATE,35,0.0370202310041373,73.13707803811413,2526.7188871298194,0.9887610405081882
36,INTERMEDIATE,36,0.0345174345997482,73.15028288836776,2599.869170018187,0.9893371051782367
37,INTERMEDIATE,37,0.03218384269981296,73.16071893763943,2673.0298889558267,0.989876252501859
38,INTERMEDIATE,38,0.030008016034130777,73.16857337398696,2746.1984623298135,0.9903809783198261
39,INTERMEDIATE,39,0.027979288697862145,73.17402073039861,2819.3724830602123,0.9908536097386482
40,INTERMEDIATE,40,0.026087715867251,73.17722374035407,2892.549706800566,0.9912963165380543
41,INTERMEDIATE,41,0.024324025050087184,73.17833413554402,2965.72804093611,0.9917111218072536
42,INTERMEDIATE,42,0.02267957063193876,73.17749338965918,3038.905534325769,0.9920999118621223
43,INTERMEDIATE,43,0.021146291495340138,73.17483341189443,3112.0803677376634,0.9924644454919258
44,INTERMEDIATE,44,0.019716671504184862,73.17047719356788,3185.2508449312313,0.992806362580905
45,INTERMEDIATE,45,0.01838370265961768,73.16453941102444,3258.415384342256,0.9931271921469924
46,INTERMEDIATE,46,0.017140850746816066,73.15712698777938,3331.5725113300355,0.9934283598370582
47,INTERMEDIATE,47,0.01598202330426156,73.14833961865754,3404.720850948693,0.9937111949154338
48,INTERMEDIATE,48,0.014901539758486316,73.1382702584975,3477.8591212071906,0.9939769367799666
49,INTERMEDIATE,49,0.01389410357789542,73.12700557781625,3550.986126785007,0.99422674103755
50,INTERMEDIATE,50,0.012954776309162816,73.11462638766824,3624.100753172675,0.9944616851689099
51,INTERMEDIATE,51,0.012078953368927395,73.10120803578118,3697.2019612084564,0.9946827738104157
52,INTERMEDIATE,52,0.01126234147212004,73.08682077591077,3770.2887819843672,0.9948909436788101
53,INTERMEDIATE,53,0.01050093758627518,73.07153011222458,3843.3603120965918,0.9950870681629944
54,INTERMEDIATE,54,0.009791009308661065,73.05539712040373,3916.4157092169953,0.995271961605383
55,INTERMEDIATE,55,0.00912907657003719,73.03847874703574,3989.454187964031,0.99544638329381
56,INTERMEDIATE,56,0.008511894575350863,73.02082808876698,4062.475016052798,0.9956110411835598
57,INTERMEDIATE,57,0.007936437897748113,73.0024946525823,4135.47751070538,0.995766595367764
58,INTERMEDIATE,58,0.007399885647927697,72.98352459848846,4208.461035303869,0.9959136613131794
59,INTERMEDIATE,59,0.006899607646138506,72.96396096579046,4281.4249962696595,0.996052812877206
60,INTERMEDIATE,60,0.006433151529035368,72.94384388407033,4354.36884015373,0.9961845851209378
61,INTERMEDIATE,61,0.0059982307281910814,72.92321076990233,4427.292050923633,0.996309476932031
62,INTERMEDIATE,62,0.005592713261335319,72.90209651026906,4500.194147433902,0.996427953470254
63,INTERMEDIATE,63,0.00521461128137509,72.8805336335775,4573.074681067479,0.9965404484477
64,INTERMEDIATE,64,0.004862071331965975,72.85855246911328,4645.9332335365925,0.9966473662548437
65,INTERMEDIATE,65,0.004533365261866955,72.83618129571491,4718.769414832307,0.9967490839428654
66,INTERMEDIATE,66,0.004226881753541059,72.81344648039659,4791.582861312704,0.9968459530719547
67,INTERMEDIATE,67,0.003941118424474903,72.7903726075995,4864.373233920303,0.99693830143466
68,INTERMEDIATE,68,0.0036746744624978657,72.76698259970458,4937.140216520008,0.9970264346627277
69,INTERMEDIATE,69,0.003426243758999222,72.74329782939819,5009.883514349406,0.9971106377253093
70,INTERMEDIATE,70,0.003194608506382201,72.71933822444102,5082.6028525738475,0.9971911763258802
